order_id,min(1-packing_rate),max(1-packing_rate),min(distance),max(distance)
E1594609968101,0.13905244201551792,0.2514447230311847,681352.0,776475.0
E1595638696418,0.17926521620096658,0.338477382815748,758588.0,860174.0
E1596676780873,0.17874898123078786,0.23461964895725274,388054.0,477917.0
E1596943422130,0.1927485190778695,0.2611482330472311,643207.0,793760.0
E1597112047246,0.16498753755238882,0.2811188674600581,602007.0,674180.0
E1597202461634,0.2017036467467126,0.2017036467467126,746278.0,746278.0
E1597282936387,0.23140220098135733,0.26312360024459736,953087.0,1038507.0
E1597284418604,0.2905729908297139,0.44130446805548995,828602.0,1029655.0
E1597802825734,0.22935309767833267,0.2462644022428181,1019693.0,1146307.0
E1597809878442,0.2415502394559641,0.30821566516307053,547162.0,652479.0
ECO2007210113,0.2627389180768238,0.5083373512134667,359830.0,419919.0
ECO2007240027,0.22330317728443383,0.28047846820114697,1462353.0,1656133.0
ECO2007250011,0.1912934204518152,0.3694079993218954,758588.0,857722.0
ECO2007270107,0.06207956521739022,0.06207956521739133,193050.0,241018.0
ECO2007290014,0.1814041866000652,0.23486060905108241,888482.0,971753.0
ECO2007300009,0.2645946406697892,0.37457310652672726,381274.0,493829.0
ECO2008070012,0.1536995217264221,0.17336567279963822,1895470.0,2095168.0
ECO2008110020,0.07441983761084814,0.18257320587946957,943374.0,1026336.0
ECO2008110027,0.05362306260723493,0.207711159612054,652939.0,785146.0
ECO2008120023,0.20470268514214673,0.3016009250893671,534232.0,625580.0
ECO2008120038,0.37494060281690345,0.38837065129834447,385777.0,545639.0
ECO2008130066,0.27930287386861163,0.4643309119573512,829586.0,1019364.0
ECO2008130135,0.21510199040438815,0.3220594902023869,548774.0,689557.0
ECO2008140098,0.3450903132952454,0.3450903132952454,281399.0,281399.0
ECO2008160002,0.2855905704832399,0.349693874500526,513576.0,666302.0
ECO2008190025,0.2546643978941576,0.310761823612698,696052.0,787166.0
ECO2008220028,0.1905114098643217,0.37550085392849186,381230.0,477888.0
ECO2008250134,0.16901508336034388,0.24450641062207656,426857.0,559235.0
ECO2008250157,0.1479443070684674,0.23229848026861932,420418.0,631347.0
ECO2008260084,0.30314103141033466,0.35315004664706817,274866.0,347291.0
ECO2008260104,0.24887136782098584,0.38932892163454325,726305.0,1034900.0
ECO2008270042,0.2292945864690069,0.2292945864690069,1176423.0,1176423.0
EF1594616089763,0.05703803654886863,0.07396014492753611,559190.0,601034.0
EF1594632252863,0.18296834575253484,0.2922327311145889,863260.0,934646.0
EF1594805700879,0.20939086508173743,0.27630542796704927,570102.0,663314.0
EF1594955642012,0.22708939358670277,0.41477301353778684,682961.0,962812.0
EF1595231952604,0.19807683229906814,0.26530887497254996,675309.0,827718.0
EF1595295309474,0.21071845695128355,0.2939122596492748,1126764.0,1204474.0
EF1595295895624,0.00735043478260522,0.007350434782605553,237112.0,307622.0
EF1595381687057,0.1933658061629876,0.4583308116322351,354922.0,568111.0
EF1595474862428,0.23557289969460005,0.29408156423318366,1128063.0,1329179.0
EF1595650233198,0.3108824666447981,0.39834738433988137,292751.0,307210.0
EF1595817642706,0.20846767878416572,0.28945523538665885,1049157.0,1195369.0
EF1595836068288,0.2606800076781485,0.2606800076781485,222043.0,222043.0
EF1596011846243,0.19322212705847963,0.2286132654595825,767832.0,921520.0
EF1596102693660,0.2591914696915276,0.42292422754781867,501028.0,662773.0
EF1596466497583,0.22441000982638304,0.2968936945362891,1028335.0,1292872.0
EF1596525590000,0.43033163650736916,0.43702237232020213,326981.0,482287.0
EF1596590704042,0.14022048696896217,0.2850004900071359,630968.0,872860.0
EF1597377226190,0.2716564666040836,0.3203745945264115,2318734.0,2339331.0
